epoch,accuracy,f1_score,loss,precision,recall,val_accuracy,val_f1_score,val_loss,val_precision,val_recall
0,0.6695399880409241,0.6523397564888,0.9547210335731506,0.7633561491966248,0.5715399980545044,0.758400022983551,0.7483713626861572,0.7065742015838623,0.8287292718887329,0.6899999976158142
0,0.6222000122070312,0.5628407597541809,1.2181599140167236,0.7060933113098145,0.5277199745178223,0.7353000044822693,0.7254095077514648,0.7644274234771729,0.8085675835609436,0.6643999814987183
1,0.6716200113296509,0.6483433246612549,0.9495406746864319,0.7613593935966492,0.574400007724762,0.7516000270843506,0.7501599788665771,0.74028080701828,0.8126909732818604,0.6916000247001648
2,0.6849200129508972,0.6666533350944519,0.9151846766471863,0.7736644744873047,0.5906000137329102,0.7623000144958496,0.7613231539726257,0.7032004594802856,0.8227965831756592,0.7067000269889832
0,0.6211000084877014,0.5552915930747986,1.2222598791122437,0.7062116265296936,0.5223000049591064,0.7329999804496765,0.73358154296875,0.7715380191802979,0.7989955544471741,0.6682000160217285
1,0.671180009841919,0.6529070138931274,0.9544155597686768,0.7633740305900574,0.5724999904632568,0.7495999932289124,0.74161696434021,0.7350266575813293,0.8108677864074707,0.6923999786376953
2,0.6845600008964539,0.6699641942977905,0.9210858345031738,0.7736691236495972,0.5891799926757812,0.7555000185966492,0.7608113884925842,0.715891420841217,0.820669412612915,0.6988000273704529
3,0.6914399862289429,0.6766499280929565,0.8921781182289124,0.778077244758606,0.6005200147628784,0.7714999914169312,0.771268904209137,0.6811122298240662,0.8304236531257629,0.7135000228881836
4,0.6994199752807617,0.6867591142654419,0.8735046982765198,0.7814140915870667,0.6131600141525269,0.7651000022888184,0.7611433267593384,0.7067340612411499,0.8205452561378479,0.7132999897003174
5,0.7034800052642822,0.6950414776802063,0.8654423952102661,0.7866693735122681,0.6165599822998047,0.7664999961853027,0.7617364525794983,0.6976792812347412,0.8239160776138306,0.7145000100135803
6,0.7062000036239624,0.6974295377731323,0.8506601452827454,0.7890561819076538,0.6226599812507629,0.7713000178337097,0.7722436785697937,0.6855695247650146,0.831389307975769,0.7199000120162964
7,0.708620011806488,0.700840950012207,0.8500433564186096,0.789918065071106,0.626800000667572,0.7710999846458435,0.7603067755699158,0.6839126348495483,0.8250749111175537,0.7160000205039978
8,0.7140600085258484,0.7058248519897461,0.8336035013198853,0.7940504550933838,0.6326199769973755,0.7735000252723694,0.7732591032981873,0.6837178468704224,0.8272436857223511,0.7245000004768372
9,0.714139997959137,0.7060539126396179,0.8389738202095032,0.7915768027305603,0.6311399936676025,0.7764999866485596,0.7641785144805908,0.6791502833366394,0.8308279514312744,0.718500018119812
10,0.7164199948310852,0.7107567191123962,0.8307557106018066,0.7963835000991821,0.6359599828720093,0.7789999842643738,0.7720673084259033,0.6780831813812256,0.8357405066490173,0.7290999889373779
11,0.7192999720573425,0.7122588157653809,0.8167442083358765,0.7974592447280884,0.641539990901947,0.7739999890327454,0.7673867344856262,0.7086125612258911,0.8235757946968079,0.7315000295639038
12,0.7245200276374817,0.7173553109169006,0.8089978694915771,0.8017579913139343,0.6494399905204773,0.7784000039100647,0.7773667573928833,0.6801948547363281,0.8318352699279785,0.7311000227928162
13,0.7261599898338318,0.7185238003730774,0.7997363805770874,0.8038581013679504,0.6509000062942505,0.7782999873161316,0.7804639339447021,0.6881669163703918,0.8286004066467285,0.7353000044822693
14,0.7242400050163269,0.7193955183029175,0.8044594526290894,0.8029980659484863,0.6492400169372559,0.7731000185012817,0.7727686166763306,0.6979554891586304,0.8244101405143738,0.7268000245094299
15,0.7229400277137756,0.7185640931129456,0.8095612525939941,0.8021983504295349,0.6480799913406372,0.7734000086784363,0.7754911780357361,0.7031661868095398,0.8246327638626099,0.7297999858856201
16,0.7264599800109863,0.7179259061813354,0.8029663562774658,0.802013099193573,0.6517800092697144,0.775600016117096,0.7819439172744751,0.6869835257530212,0.8285714387893677,0.7250000238418579
17,0.726360023021698,0.7198399901390076,0.8028437495231628,0.8037556409835815,0.6514599919319153,0.7846999764442444,0.7751787900924683,0.6621859669685364,0.8316608667373657,0.7376000285148621
18,0.7296800017356873,0.7230790257453918,0.7969198226928711,0.8045847415924072,0.657039999961853,0.7789000272750854,0.7863551378250122,0.6842783093452454,0.828191876411438,0.7355999946594238
19,0.7291799783706665,0.7221747040748596,0.7978355288505554,0.8046873211860657,0.654420018196106,0.7771999835968018,0.775505781173706,0.67469322681427,0.8320000171661377,0.7279999852180481
20,0.7322400212287903,0.728912889957428,0.7855841517448425,0.8077913522720337,0.6585599780082703,0.781499981880188,0.7870234847068787,0.675487220287323,0.8332576155662537,0.7336000204086304
21,0.7314199805259705,0.7289422154426575,0.7919891476631165,0.8054194450378418,0.657480001449585,0.7750999927520752,0.7760010361671448,0.7014331817626953,0.8277003765106201,0.7249000072479248
22,0.7303799986839294,0.7261812686920166,0.7933841347694397,0.8061304688453674,0.6559000015258789,0.7847999930381775,0.7874826788902283,0.6798714399337769,0.8349481821060181,0.741100013256073
23,0.7369999885559082,0.7330682873725891,0.772428035736084,0.8122396469116211,0.6668000221252441,0.78329998254776,0.7847989797592163,0.6771194338798523,0.8328243494033813,0.736299991607666
24,0.7338399887084961,0.7296937704086304,0.7828254699707031,0.8109697699546814,0.6618000268936157,0.7824000120162964,0.7801777720451355,0.6803895235061646,0.8328028917312622,0.732699990272522
25,0.7333599925041199,0.7302635908126831,0.7848829030990601,0.8087775111198425,0.6615800261497498,0.7838000059127808,0.7883385419845581,0.6831393837928772,0.8337111473083496,0.7354999780654907
26,0.7361199855804443,0.7329217791557312,0.7814883589744568,0.8097174167633057,0.6652799844741821,0.786899983882904,0.7855583429336548,0.6861422657966614,0.8341142535209656,0.7476999759674072
27,0.7402600049972534,0.7355949878692627,0.7750028967857361,0.8105058073997498,0.6665599942207336,0.7800999879837036,0.7796772718429565,0.7014675140380859,0.829755961894989,0.734499990940094
28,0.7370799779891968,0.7297431230545044,0.7817537784576416,0.8102293014526367,0.6650199890136719,0.7853000164031982,0.7879590392112732,0.6859203577041626,0.8352848291397095,0.7419000267982483
29,0.7377600073814392,0.7356890439987183,0.77189701795578,0.8122156262397766,0.6675599813461304,0.7857000231742859,0.7883949875831604,0.6842846274375916,0.8354187607765198,0.741100013256073
