epoch,accuracy,f1_score,loss,precision_1,recall_1,val_accuracy,val_f1_score,val_loss,val_precision_1,val_recall_1
0,0.5136799812316895,0.39292970299720764,1.3846023082733154,0.6777622103691101,0.33799999952316284,0.5871999859809875,0.5423638224601746,1.1658530235290527,0.7445986270904541,0.4239000082015991
1,0.5597599744796753,0.5061025619506836,1.2459216117858887,0.7075035572052002,0.3978999853134155,0.6202999949455261,0.5815158486366272,1.080750823020935,0.7604501843452454,0.4729999899864197
2,0.571399986743927,0.5251144170761108,1.2131619453430176,0.7167725563049316,0.4175199866294861,0.6215999722480774,0.5721407532691956,1.0763417482376099,0.773514449596405,0.45559999346733093
3,0.5790200233459473,0.5316184163093567,1.1942493915557861,0.7203318476676941,0.42719998955726624,0.6092000007629395,0.5816836953163147,1.106964349746704,0.7336291074752808,0.4794999957084656
4,0.5876799821853638,0.5489904880523682,1.175068736076355,0.7238101363182068,0.44012001156806946,0.6297000050544739,0.5944432616233826,1.055883765220642,0.7593927383422852,0.4952000081539154
5,0.5878199934959412,0.5488736629486084,1.1666669845581055,0.724712073802948,0.44047999382019043,0.6345999836921692,0.6002917885780334,1.060850739479065,0.7641190886497498,0.49790000915527344
6,0.5904200077056885,0.5557205080986023,1.1541401147842407,0.72769695520401,0.4491199851036072,0.626800000667572,0.6041563153266907,1.057515263557434,0.7536600232124329,0.5044999718666077
7,0.593940019607544,0.5661643147468567,1.1455687284469604,0.7317528128623962,0.4549599885940552,0.6322000026702881,0.6125062108039856,1.0573593378067017,0.7508402466773987,0.5138000249862671
8,0.596560001373291,0.5574844479560852,1.143350601196289,0.7306596636772156,0.4565599858760834,0.640999972820282,0.6158202886581421,1.0241841077804565,0.7720631957054138,0.5178999900817871
9,0.6040800213813782,0.5723704099655151,1.1291251182556152,0.7371281385421753,0.46386000514030457,0.6377999782562256,0.6070278882980347,1.043540358543396,0.7590646743774414,0.5128999948501587
10,0.6037200093269348,0.5674846768379211,1.1310663223266602,0.7355429530143738,0.4642600119113922,0.6484000086784363,0.6233449578285217,1.0195947885513306,0.7668738961219788,0.5181000232696533
11,0.6050000190734863,0.5719946026802063,1.1243001222610474,0.7405359148979187,0.46869999170303345,0.6424000263214111,0.6321762204170227,1.0271281003952026,0.755378246307373,0.5302000045776367
12,0.6085000038146973,0.575718879699707,1.1152185201644897,0.7372897267341614,0.4715999960899353,0.6427000164985657,0.6126059889793396,1.013942837715149,0.7696452736854553,0.51419997215271
13,0.6083999872207642,0.5751962661743164,1.112857699394226,0.7377778887748718,0.4738599956035614,0.6460000276565552,0.6190203428268433,1.0089353322982788,0.7717037200927734,0.5209000110626221
14,0.6095799803733826,0.5765026807785034,1.1080371141433716,0.7385193109512329,0.4760200083255768,0.6434000134468079,0.6300783157348633,1.0164893865585327,0.7632905840873718,0.5297999978065491
15,0.6103600263595581,0.5857231020927429,1.107557773590088,0.7412602305412292,0.47878000140190125,0.6496999859809875,0.6267088651657104,1.0105409622192383,0.7735959887504578,0.526199996471405
16,0.6126400232315063,0.5849871039390564,1.0991851091384888,0.7431442141532898,0.4807400107383728,0.642300009727478,0.6171540021896362,1.014204740524292,0.7606514692306519,0.5231000185012817
17,0.6144999861717224,0.5870511531829834,1.0949441194534302,0.7426058053970337,0.48458001017570496,0.6514999866485596,0.6328548192977905,1.0012520551681519,0.7690547704696655,0.5378000140190125
18,0.615339994430542,0.5845581889152527,1.0931464433670044,0.7420619130134583,0.4846999943256378,0.6484000086784363,0.6192224025726318,1.0251981019973755,0.7541261315345764,0.534600019454956
19,0.616159975528717,0.5886703729629517,1.0898962020874023,0.7446276545524597,0.48857998847961426,0.6477000117301941,0.6184626221656799,1.0154491662979126,0.7637863755226135,0.5277000069618225
20,0.6183199882507324,0.5930932760238647,1.0894421339035034,0.7450124025344849,0.4876999855041504,0.6525999903678894,0.6319886445999146,1.0180714130401611,0.7583789229393005,0.5407999753952026
21,0.617579996585846,0.5949258804321289,1.0879160165786743,0.7461925745010376,0.4889799952507019,0.6535999774932861,0.6315440535545349,1.0174039602279663,0.7680805325508118,0.5342000126838684
22,0.619159996509552,0.5947198867797852,1.0822478532791138,0.7476028800010681,0.4927600026130676,0.6477000117301941,0.6284566521644592,1.030814290046692,0.7515007853507996,0.5382999777793884
23,0.6197999715805054,0.5944242477416992,1.0849440097808838,0.7485042810440063,0.49042001366615295,0.6510000228881836,0.6196495890617371,1.0098645687103271,0.7723913788795471,0.522599995136261
24,0.6203600168228149,0.5920311808586121,1.0815759897232056,0.749740481376648,0.49107998609542847,0.6464999914169312,0.6300679445266724,1.0176489353179932,0.7611832618713379,0.5274999737739563
25,0.6212400197982788,0.5971322059631348,1.0834065675735474,0.7475869655609131,0.4925999939441681,0.6575999855995178,0.6356395483016968,0.9945777058601379,0.7759288549423218,0.5408999919891357
26,0.622160017490387,0.5961615443229675,1.075740098953247,0.7460854053497314,0.4945800006389618,0.6556000113487244,0.6331780552864075,1.0001877546310425,0.7686408162117004,0.5411999821662903
27,0.6213399767875671,0.5961796641349792,1.0755493640899658,0.7484409809112549,0.4944800138473511,0.651199996471405,0.6242628693580627,1.0160226821899414,0.7690181732177734,0.5286999940872192
28,0.6225600242614746,0.5974891781806946,1.0769221782684326,0.7474405765533447,0.4950000047683716,0.6553000211715698,0.6302024722099304,1.004696249961853,0.7659029364585876,0.5382000207901001
29,0.6241000294685364,0.5964206457138062,1.076562523841858,0.7473557591438293,0.49601998925209045,0.6554999947547913,0.6277482509613037,1.0074015855789185,0.7655093669891357,0.5379999876022339
